VIDEO_ID,VIDEO_TITLE,VIDEO_DESC,CHANNEL_ID,CHANNEL_NAME,VIEW_COUNT,LIKE_COUNT,COMMMENT_COUNT
epDKamC-V-8,"Python Tkinter Tutorial (Part 1): Getting Started, Elements, Layouts, and Events","In this Python programming tutorial, we will learn how to get started with Tkinter, a GUI framework that is part of the Python ...",UCCezIgC97PvUuR4_gbFUs5g,Corey Schafer,19950,1126,130
LQ1tm5lkaLI,Python Quick Tip: Secure Passwords and Sensitive Info with DotEnv #Shorts #Python #Programming,Learn how to properly manage sensitive information within Python scripts. Watch the full tutorial for a more in-depth explanation: ...,UCCezIgC97PvUuR4_gbFUs5g,Corey Schafer,17216,933,24
jRAAaDll34Q,How to Use ChatGPT as a Powerful Tool for Programming,"In this Programming Tutorial video, we will be learning how developers can harness ChatGPT as a tool to help us in our daily ...",UCCezIgC97PvUuR4_gbFUs5g,Corey Schafer,301697,8263,451
HZ8uXq5VG2w,Python Tutorial: Simulate the Powerball Lottery Using Python,"In this Python Programming video, we will be learning how to simulate the Powerball lottery using Python. I have seen several ...",UCCezIgC97PvUuR4_gbFUs5g,Corey Schafer,146193,4403,755
vQQEaSnQ_bs,Python YouTube API Tutorial: Using OAuth to Access User Accounts,"In this Python Programming Tutorial, we'll be learning how to learning how to use OAuth2 for the YouTube API. This will allow us ...",UCCezIgC97PvUuR4_gbFUs5g,Corey Schafer,144113,2734,352
-IV1NTGy6Mg,The BEST Open Source LLM? (Falcon 40B),TII Call for Proposals with Falcon 40B: https://falconllm.tii.ae/proposal.php Falcon Github samples: ...,UCfzlCWGWYyIQ0aLC5w48gBQ,sentdex,97773,2749,197
0lOSvOoF2to,OpenAI GPT-4 Function Calling: Unlimited Potential,Function calling is a new capability for OpenAI's GPT-4 and GPT-3.5 via the API. Function-calling allows you to extract structured ...,UCfzlCWGWYyIQ0aLC5w48gBQ,sentdex,227732,4773,322
kkTNg_UOCNE,Building an Open Assistant API,"Working with one of the Open Assistant models, a 12B parameter Pythia model ...",UCfzlCWGWYyIQ0aLC5w48gBQ,sentdex,30346,710,75
lJNblY3Madg,Sparks of AGI? - Analyzing GPT-4 and the latest GPT/LLM Models,"An in-depth look into the current state of the art of Generative Pre-trained Transformer (GPT) language models, with a specific ...",UCfzlCWGWYyIQ0aLC5w48gBQ,sentdex,57662,1651,203
fGpXj4bl5LI,ChatGLM: The ChatGPT killer? Checking out ChatGLM6B,Exploring the concept of a GLM (General Language Model) and working with ChatGLM6B. Original GLM paper: ...,UCfzlCWGWYyIQ0aLC5w48gBQ,sentdex,102055,4008,258
BmOMkiIbSeA,This Phone Will Start A Trend In Midrange Phones!,We Are Hiring! APPLY HERE: https://techwiser.com/we-are-hiring Please leave a LIKE ❤️ and SUBSCRIBE For More Videos ...,UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,66164,4360,82
895baY-79ek,You Need this 4 in 1 Charger,We Are Hiring! APPLY HERE: https://techwiser.com/we-are-hiring Please leave a LIKE ❤️ and SUBSCRIBE For More Videos ...,UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,59057,4445,49
usLFxfLjSkM,Motorola Edge 50: Upgrade But One Thing!,We Are Hiring! APPLY HERE: https://techwiser.com/we-are-hiring Check out #motorolaEdge50 ...,UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,133617,5800,590
bbltxDaWBBI,This Apple Feature Is better than AI!,We Are Hiring! APPLY HERE: https://techwiser.com/we-are-hiring Please leave a LIKE ❤️ and SUBSCRIBE For More Videos ...,UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,281900,19179,313
IJDH_e-aNMg,The New Nothing Phone Is Confusing!,We Are Hiring! APPLY HERE: https://techwiser.com/we-are-hiring Please leave a LIKE ❤️ and SUBSCRIBE For More Videos ...,UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,59757,2991,248
